dateTime,Device,Metric,Value,RAG,
26/01/2020 10:00,A4600,PM2.5,1.13,,
26/01/2020 10:00,B4098,PM2.5,2.61,,
26/01/2020 10:00,B4106,PM2.5,9.33,,
26/01/2020 10:30,A4114,PM2.5,15.33,,
26/01/2020 10:30,A428,PM2.5,11.095,,
26/01/2020 10:30,A4600,PM2.5,3.22,,
26/01/2020 10:30,B4098,PM2.5,0.5,,
26/01/2020 10:30,B4106,PM2.5,8.34,,
26/01/2020 11:00,A4114,PM2.5,10.099999,,
26/01/2020 11:00,A428,PM2.5,6.93,,
26/01/2020 11:00,A4600,PM2.5,1.16,,
26/01/2020 11:00,B4098,PM2.5,2.8,,
26/01/2020 11:00,B4106,PM2.5,8.7,,
26/01/2020 11:30,A4114,PM2.5,12.695,,
26/01/2020 11:30,A428,PM2.5,7.67,,
26/01/2020 11:30,A4600,PM2.5,1.025,,
26/01/2020 11:30,B4098,PM2.5,2.99,,
26/01/2020 11:30,B4106,PM2.5,9.27,,
26/01/2020 12:00,A4114,PM2.5,17.619999,,
26/01/2020 12:00,A428,PM2.5,11.385,,
26/01/2020 12:00,A4600,PM2.5,3.07,,
26/01/2020 12:00,B4098,PM2.5,4.09,,
26/01/2020 12:00,B4106,PM2.5,10.63,,
26/01/2020 12:30,A4114,PM2.5,26.92,,
26/01/2020 12:30,A428,PM2.5,10.57,,
26/01/2020 12:30,A4600,PM2.5,1.39,,
26/01/2020 12:30,B4098,PM2.5,3.59,,
26/01/2020 12:30,B4106,PM2.5,15.524999,,
26/01/2020 13:00,A4114,PM2.5,22.32,,
26/01/2020 13:00,A428,PM2.5,15.94,,
26/01/2020 13:00,A4600,PM2.5,1.74,,
26/01/2020 13:00,B4098,PM2.5,4.25,,
26/01/2020 13:00,B4106,PM2.5,12.309999,,
26/01/2020 13:30,A4114,PM2.5,24.519999,,
26/01/2020 13:30,A428,PM2.5,16.119999,,
26/01/2020 13:30,A4600,PM2.5,1.705,,
26/01/2020 13:30,B4098,PM2.5,6.36,,
26/01/2020 13:30,B4106,PM2.5,12.059999,,
26/01/2020 14:00,A4114,PM2.5,13.84,,
26/01/2020 14:00,A428,PM2.5,13.11,,
26/01/2020 14:00,A4600,PM2.5,0.73,,
26/01/2020 14:00,B4098,PM2.5,3.93,,
26/01/2020 14:00,B4106,PM2.5,10.785,,
26/01/2020 14:30,A4114,PM2.5,13.48,,
26/01/2020 14:30,A428,PM2.5,13.13,,
26/01/2020 14:30,A4600,PM2.5,1.16,,
26/01/2020 14:30,B4098,PM2.5,3.88,,
26/01/2020 14:30,B4106,PM2.5,9.309999,,
26/01/2020 15:00,A4114,PM2.5,15.329999,,
26/01/2020 15:00,A428,PM2.5,5.75,,
26/01/2020 15:00,A4600,PM2.5,1.14,,
26/01/2020 15:00,B4098,PM2.5,3.75,,
26/01/2020 15:00,B4106,PM2.5,13.54,,
26/01/2020 15:30,A4114,PM2.5,14.679999,,
26/01/2020 15:30,A428,PM2.5,12.545,,
26/01/2020 15:30,A4600,PM2.5,0.23,,
26/01/2020 15:30,B4098,PM2.5,4.2,,
26/01/2020 15:30,B4106,PM2.5,9.45,,
