dateTime,apMAC,Value
15/01/2020 01:00,D8:84:66:31:D5:C4,0
15/01/2020 01:00,D8:84:66:31:D5:DA,803
15/01/2020 01:00,D8:84:66:31:D6:66,493
15/01/2020 01:00,D8:84:66:31:D6:6A,0
15/01/2020 01:00,D8:84:66:31:D6:C8,0
15/01/2020 01:00,D8:84:66:31:D6:D2,0
15/01/2020 01:00,D8:84:66:31:D6:E6,111
15/01/2020 02:00,D8:84:66:0D:1B:E4,0
15/01/2020 02:00,D8:84:66:30:F2:EC,173
15/01/2020 02:00,D8:84:66:30:F7:A2,0
15/01/2020 02:00,D8:84:66:30:F7:C0,0
15/01/2020 02:00,D8:84:66:30:F8:64,0
15/01/2020 02:00,D8:84:66:30:F8:A4,0
15/01/2020 02:00,D8:84:66:30:F9:DA,280
15/01/2020 02:00,D8:84:66:31:7F:24,155
15/01/2020 02:00,D8:84:66:31:7F:36,0
15/01/2020 02:00,D8:84:66:31:7F:42,39
15/01/2020 02:00,D8:84:66:31:7F:7E,125
15/01/2020 02:00,D8:84:66:31:7F:BC,0
15/01/2020 02:00,D8:84:66:31:7F:D4,138
15/01/2020 02:00,D8:84:66:31:80:02,98
15/01/2020 02:00,D8:84:66:31:80:1E,579
15/01/2020 02:00,D8:84:66:31:80:78,8
15/01/2020 02:00,D8:84:66:31:80:7C,0
15/01/2020 02:00,D8:84:66:31:80:86,261
15/01/2020 02:00,D8:84:66:31:80:D2,440
15/01/2020 02:00,D8:84:66:31:80:E4,74
15/01/2020 02:00,D8:84:66:31:80:EC,133
15/01/2020 02:00,D8:84:66:31:80:EE,110
15/01/2020 02:00,D8:84:66:31:80:F2,50
15/01/2020 02:00,D8:84:66:31:81:42,138
15/01/2020 02:00,D8:84:66:31:81:6C,456
15/01/2020 02:00,D8:84:66:31:81:74,0
15/01/2020 02:00,D8:84:66:31:81:A4,231
15/01/2020 02:00,D8:84:66:31:82:26,843
15/01/2020 02:00,D8:84:66:31:82:28,160
15/01/2020 02:00,D8:84:66:31:82:32,118
15/01/2020 02:00,D8:84:66:31:82:3E,0
15/01/2020 02:00,D8:84:66:31:82:40,25
15/01/2020 02:00,D8:84:66:31:82:66,50
15/01/2020 02:00,D8:84:66:31:82:B6,415
15/01/2020 02:00,D8:84:66:31:83:12,149
15/01/2020 02:00,D8:84:66:31:83:14,337
15/01/2020 02:00,D8:84:66:31:83:DA,109
15/01/2020 02:00,D8:84:66:31:85:A0,332
15/01/2020 02:00,D8:84:66:31:D4:0E,0
15/01/2020 02:00,D8:84:66:31:D4:10,0
15/01/2020 02:00,D8:84:66:31:D4:12,172
15/01/2020 02:00,D8:84:66:31:D4:18,0
