Year,LSOA code (2021),LSOA name (2021),IoD 2025 air quality indicator score,Lower-layer Super Output Area (LSOA) 2021 local name
2023,E01009566,Coventry 009B,3.12,Foleshill – Courtaulds Guild Road
2023,E01009568,Coventry 009D,3.12,Parting of the Heaths - Durbar Avenue
2023,E01009626,Coventry 011D,3.12,Daimler Green - North Capmartin Road 
2023,E01009615,Coventry 027A,3.11,Stoke Park
2023,E01009616,Coventry 027B,3.11,Middle Stoke - Church Lane
2023,E01009658,Coventry 021C,3.11,Stoke Heath - Dane Road North Allotments
2023,E01009659,Coventry 016C,3.11,Barras Heath - West of Clay Lane
2023,E01009660,Coventry 021D,3.11,Stoke Church End - Shakespeare Street
2023,E01009661,Coventry 028D,3.11,Gosford Green - Kingsway 
2023,E01009620,Coventry 027E,3.06,Stoke Green - New Century Park
2023,E01009621,Coventry 027F,3.06,Sidderley Avenue 
2023,E01034749,Coventry 038G,3.06,Stoke Green Humber Bolingbroke
2023,E01034750,Coventry 038H,3.06,Charterhouse Terry Road
2023,E01009584,Coventry 007D,3.03,Aldermans Green Industrial estate 
2023,E01009654,Coventry 021B,3.03,Upper Stoke - Hartland Avenue
2023,E01009655,Coventry 016A,3.03,Stoke Heath - Bartons Meadway
2023,E01009656,Coventry 016B,3.03,Stoke Heath - Mercer Crescent– Barras Heath
2023,E01009609,Coventry 005D,3.02,Foleshill – Elkington Street
2023,E01009610,Coventry 004E,3.02,Courthouse Green North
2023,E01009662,Coventry 016D,3.02,Courthouse - Green Retail Park
2023,E01009664,Coventry 016E,3.02,Courthouse Green – Sewall Highway North
2023,E01009587,Coventry 011A,3.01,Whitmore Park - Burnaby Road
2023,E01009588,Coventry 043A,3.01,Holbrooks – Monks Park
2023,E01009596,Coventry 043C,3.01,Holbrooks N - Whitmore Park Dunster
2023,E01009597,Coventry 043D,3.01,Holbrook Lane – Lythalls Lane
2023,E01032534,Coventry 037F,3,Cheylesmore SE – Poitiers Road
2023,E01009631,Coventry 020C,2.99,Barker Butts - Bablake School Thomson Avenue
2023,E01009647,Coventry 017C,2.99,Alvis Retail Park - Moseley Avenue
2023,E01009650,Coventry 020E,2.99,Upper Holyhead Road – Minster Road
2023,E01009686,Coventry 026D,2.99,Coventry Business Park
2023,E01009613,Coventry 018A,2.98,Wyken - Ravensdale Road
2023,E01009614,Coventry 021A,2.98,Poets Corner
2023,E01009716,Coventry 018E,2.98,Hipswell Highway - Macaulay Road
2023,E01009553,Coventry 031B,2.96,Central Six Retail Park - Queens Road
2023,E01009558,Coventry 034E,2.96,Earlsdon - Broadway Albany Roads
2023,E01009605,Coventry 004B,2.96,Manor House - Privet Rd
