AreaKey,Period,Value
E05000650,2019,14048
E05000651,2019,11397
E05000652,2019,14140
E05000653,2019,13559
E05000654,2019,16738
E05000655,2019,16596
E05000656,2019,16261
E05000657,2019,15059
E05000658,2019,15195
E05000659,2019,14276
E05000660,2019,13264
E05000661,2019,12198
E05000662,2019,14652
E05000663,2019,14518
E05000664,2019,12635
E05000665,2019,17546
E05000666,2019,14485
E05000667,2019,14178
E05000668,2019,13964
E05000669,2019,12841
E05000670,2019,10916
E05000671,2019,10384
E05000672,2019,11928
E05000673,2019,11668
E05000674,2019,11156
E05000675,2019,12723
E05000676,2019,9721
E05000677,2019,9695
E05000678,2019,12442
E05000679,2019,11020
E05000680,2019,11949
E05000681,2019,11588
E05000682,2019,12354
E05000683,2019,10428
E05000684,2019,13730
E05000685,2019,9826
E05000686,2019,9462
E05000719,2019,15020
E05000720,2019,11108
E05000721,2019,11281
E05000722,2019,11299
E05000723,2019,13475
E05000724,2019,10215
E05000725,2019,10229
E05000726,2019,10405
E05000727,2019,12400
E05000728,2019,14334
E05000729,2019,9831
E05000730,2019,10823
E05000731,2019,9779
E05000732,2019,10132
E05000733,2019,10824
E05000734,2019,12661
E05000735,2019,15710
E05000736,2019,10183
E05000737,2019,13395
E05000738,2019,14006
E05000739,2019,11557
E05000740,2019,9708
E05000741,2019,10796
E05000742,2019,11532
E05000743,2019,10565
E05000744,2019,10483
E05000745,2019,12303
E05000746,2019,13302
E05000747,2019,9244
E05000748,2019,12370
E05000749,2019,10205
E05000750,2019,9292
E05000751,2019,10837
E05000752,2019,10358
E05000753,2019,12285
E05000754,2019,9834
E05000755,2019,11704
E05000756,2019,11216
E05000757,2019,11910
E05000758,2019,12911
E05000759,2019,13494
E05000760,2019,9439
E05000761,2019,17798
E05000762,2019,10725
E05000763,2019,10197
E05000764,2019,11888
E05000765,2019,9653
E05000766,2019,14068
E05000767,2019,13612
E05000768,2019,14652
E05000769,2019,14543
E05000770,2019,22288
E05000771,2019,13947
E05000772,2019,11246
E05000773,2019,11259
E05000774,2019,12921
E05000775,2019,10746
E05000776,2019,13455
E05000777,2019,12832
E05000778,2019,10071
E05000779,2019,12897
E05000780,2019,12275
E05000781,2019,13250
E05000782,2019,14389
E05000783,2019,17025
E05000784,2019,15344
E05000785,2019,13457
E05000786,2019,14303
E05000787,2019,15795
E05000788,2019,14663
E05000789,2019,14247
E05000790,2019,12772
E05000791,2019,14600
E05000792,2019,14223
E05000793,2019,13805
E05000794,2019,12670
E05000795,2019,11574
E05000796,2019,14225
E05000797,2019,14987
E05000798,2019,13662
E05000799,2019,13260
E05000800,2019,11594
E05000801,2019,12529
E05000802,2019,11583
E05000803,2019,12447
E05000804,2019,11020
E05000805,2019,10943
E05000806,2019,11218
E05000807,2019,12263
E05000808,2019,11216
E05000809,2019,12934
E05000810,2019,11002
E05000811,2019,12304
E05000812,2019,14574
E05000813,2019,11639
E05000814,2019,10024
E05000815,2019,11483
E05000816,2019,13681
E05000817,2019,12875
E05000818,2019,11164
E05000819,2019,13208
E05000820,2019,10327
E05000821,2019,9433
E05000822,2019,14169
E05000823,2019,10792
E05000824,2019,10524
E05000825,2019,12702
E05000826,2019,9692
E05000827,2019,10010
E05000828,2019,10783
E05000829,2019,12467
E05000830,2019,10214
E05000831,2019,10831
E05000832,2019,12795
E05000833,2019,11808
E05000834,2019,12075
E05000835,2019,10874
E05000836,2019,11318
E05000837,2019,11126
E05000838,2019,11270
E05000839,2019,10936
E05000840,2019,15981
E05000841,2019,11972
E05000842,2019,12997
E05000843,2019,11712
E05000844,2019,12243
E05000845,2019,15672
E05000846,2019,11559
E05000847,2019,13760
E05000848,2019,11980
E05000849,2019,13668
E05000850,2019,11243
E05000851,2019,14343
E05000852,2019,12633
E05000853,2019,14486
E05000854,2019,15446
E05000855,2019,12977
E05000856,2019,12244
E05000857,2019,14980
E05000858,2019,11567
E05000859,2019,12593
E05000860,2019,14919
E05000861,2019,12204
E05000862,2019,13318
E05000863,2019,11795
E05000864,2019,12370
E05000886,2019,14739
E05000887,2019,14815
E05000888,2019,14902
E05000889,2019,33468
E05000890,2019,13640
E05000891,2019,13772
E05000892,2019,15055
E05000893,2019,14000
E05000894,2019,15182
E05000895,2019,14495
E05000896,2019,16772
E05000897,2019,16279
E05000898,2019,15731
E05000899,2019,17770
E05000900,2019,17847
E05000901,2019,13078
E05000902,2019,13463
E05000903,2019,18296
E05000904,2019,15972
E05000905,2019,19698
E05000906,2019,20529
E05000907,2019,23498
E05000908,2019,12724
E05000909,2019,21299
E05000910,2019,17173
E05000911,2019,15809
E05000912,2019,14774
E05000913,2019,13770
E05000914,2019,12990
E05000915,2019,16502
E05000916,2019,10535
E05000917,2019,10173
E05000918,2019,9868
E05000919,2019,11926
E05000920,2019,11812
E05000921,2019,11423
E05000922,2019,11033
E05000923,2019,12573
E05000924,2019,13370
E05000925,2019,7720
E05000926,2019,10968
E05000927,2019,11792
E05000928,2019,13243
E05000929,2019,11745
E05000930,2019,11424
E05000931,2019,10980
E05000932,2019,12811
E05000933,2019,12867
E05000934,2019,11301
E05000935,2019,12206
E05000936,2019,11957
E05000937,2019,12556
E05000938,2019,14032
E05000939,2019,12875
E05000940,2019,11547
E05000941,2019,13158
E05000942,2019,13296
E05000943,2019,11891
E05000944,2019,12371
E05000945,2019,12184
E05000946,2019,12243
E05000947,2019,12813
E05000948,2019,15232
E05000949,2019,11487
E05000950,2019,12147
E05000951,2019,11597
E05000952,2019,12378
E05000953,2019,13461
E05000954,2019,15707
E05000955,2019,16163
E05000956,2019,16706
E05000957,2019,16215
E05000958,2019,14184
E05000959,2019,14448
E05000960,2019,14142
E05000961,2019,13698
E05000962,2019,13085
E05000963,2019,13327
E05000964,2019,14953
E05000965,2019,16118
E05000966,2019,14087
E05000967,2019,15131
E05000968,2019,13902
E05000969,2019,13073
E05000970,2019,14769
E05000971,2019,14662
E05000972,2019,15449
E05000973,2019,16869
E05000974,2019,14688
E05000975,2019,12635
E05000976,2019,12643
E05000977,2019,11543
E05000978,2019,11228
E05000979,2019,11165
E05000980,2019,10750
E05000981,2019,11208
E05000982,2019,12375
E05000983,2019,10623
E05000984,2019,12354
E05000985,2019,11915
E05000986,2019,12147
E05000987,2019,13729
E05000988,2019,11227
E05000989,2019,12108
E05000990,2019,12914
E05000991,2019,11177
E05000992,2019,11248
E05000993,2019,11059
E05000994,2019,12656
E05000995,2019,13006
E05000996,2019,9791
E05001019,2019,14724
E05001020,2019,12340
E05001022,2019,11070
E05001023,2019,12323
E05001024,2019,14702
E05001025,2019,11593
E05001026,2019,12389
E05001027,2019,13389
E05001028,2019,14561
E05001029,2019,15168
E05001030,2019,13662
E05001031,2019,11470
E05001032,2019,11604
E05001033,2019,11794
E05001034,2019,13405
E05001035,2019,11181
E05001036,2019,12703
E05001037,2019,11723
E05001038,2019,11556
E05001067,2019,8110
E05001068,2019,10037
E05001069,2019,11270
E05001071,2019,8765
E05001072,2019,8754
E05001073,2019,9842
E05001074,2019,9312
E05001075,2019,8985
E05001076,2019,9138
E05001077,2019,9473
E05001078,2019,9893
E05001079,2019,10196
E05001080,2019,8460
E05001081,2019,8735
E05001082,2019,8742
E05001083,2019,11674
E05001084,2019,8129
E05001085,2019,7986
E05001086,2019,7888
E05001087,2019,9405
E05001088,2019,8240
E05001115,2019,10678
E05001116,2019,10264
E05001117,2019,10472
E05001118,2019,11937
E05001119,2019,11305
E05001120,2019,9357
E05001121,2019,11236
E05001122,2019,10984
E05001123,2019,11186
E05001124,2019,9235
E05001125,2019,9799
E05001126,2019,8667
E05001127,2019,8105
E05001128,2019,12217
E05001129,2019,8726
E05001130,2019,10366
E05001131,2019,12970
E05001132,2019,10911
E05001133,2019,9981
E05001134,2019,9517
E05001135,2019,9314
E05001136,2019,7630
E05001137,2019,9117
E05001138,2019,9324
E05001139,2019,8367
E05001140,2019,7700
E05001141,2019,7383
E05001142,2019,8293
E05001143,2019,9302
E05001144,2019,8600
E05001145,2019,9188
E05001146,2019,8186
E05001147,2019,8087
E05001148,2019,9408
E05001149,2019,8108
E05001150,2019,7477
E05001151,2019,7368
E05001152,2019,8124
E05001153,2019,10645
E05001154,2019,10834
E05001155,2019,11714
E05001156,2019,9607
E05001157,2019,10907
E05001158,2019,12958
E05001159,2019,11886
E05001160,2019,11643
E05001161,2019,12680
E05001162,2019,10822
E05001163,2019,11208
E05001164,2019,11165
E05001165,2019,11058
E05001166,2019,9282
E05001167,2019,10707
E05001168,2019,10976
E05001169,2019,10808
E05001170,2019,13212
E05001171,2019,10400
E05001172,2019,10750
E05001173,2019,10771
E05001174,2019,11314
E05001175,2019,10918
E05001176,2019,9997
E05001177,2019,11443
E05001218,2019,16710
E05001219,2019,17586
E05001220,2019,18453
E05001221,2019,16156
E05001222,2019,23825
E05001223,2019,21192
E05001224,2019,19727
E05001225,2019,20501
E05001226,2019,24492
E05001227,2019,22036
E05001228,2019,39720
E05001229,2019,18592
E05001230,2019,21258
E05001231,2019,15486
E05001232,2019,21608
E05001233,2019,17798
E05001234,2019,18643
E05001235,2019,17738
E05001236,2019,13095
E05001237,2019,14207
E05001238,2019,15164
E05001239,2019,13675
E05001240,2019,15379
E05001241,2019,12463
E05001242,2019,13467
E05001243,2019,13396
E05001244,2019,12562
E05001245,2019,12287
E05001246,2019,12136
E05001247,2019,12043
E05001248,2019,12403
E05001249,2019,12589
E05001250,2019,15556
E05001251,2019,12081
E05001252,2019,12424
E05001253,2019,13852
E05001254,2019,15490
E05001255,2019,15759
E05001256,2019,12004
E05001257,2019,13765
E05001258,2019,13077
E05001259,2019,12722
E05001260,2019,12629
E05001261,2019,12276
E05001262,2019,12324
E05001263,2019,12440
E05001264,2019,13985
E05001265,2019,12734
E05001266,2019,12835
E05001267,2019,13563
E05001268,2019,13768
E05001269,2019,15271
E05001270,2019,13975
E05001271,2019,12507
E05001272,2019,12257
E05001273,2019,15178
E05001274,2019,13540
E05001275,2019,12116
E05001276,2019,15735
E05001277,2019,15246
E05001278,2019,17487
E05001279,2019,14462
E05001280,2019,12924
E05001281,2019,13222
E05001282,2019,13493
E05001283,2019,14483
E05001284,2019,12752
E05001285,2019,14497
E05001286,2019,11390
E05001287,2019,13276
E05001288,2019,11390
E05001289,2019,12466
E05001290,2019,13326
E05001291,2019,11277
E05001292,2019,13844
E05001293,2019,12726
E05001294,2019,12781
E05001295,2019,13761
E05001296,2019,12073
E05001297,2019,12591
E05001298,2019,12801
E05001299,2019,12531
E05001300,2019,12892
E05001301,2019,13990
E05001302,2019,13048
E05001303,2019,14292
E05001304,2019,16038
E05001305,2019,16524
E05001306,2019,13024
E05001307,2019,13965
E05001308,2019,13448
E05001309,2019,16642
E05001310,2019,13428
E05001311,2019,17387
E05001312,2019,11447
E05001313,2019,11396
E05001314,2019,16546
E05001315,2019,12101
E05001316,2019,17274
E05001317,2019,11452
E05001318,2019,13684
E05001319,2019,12616
E05001320,2019,17176
E05001321,2019,14916
E05001322,2019,12440
E05001323,2019,13247
E05001324,2019,12153
E05001325,2019,16549
E05001326,2019,13137
E05001327,2019,16552
E05001328,2019,12160
E05001329,2019,13287
E05001330,2019,16160
E05001331,2019,11907
E05001332,2019,12655
E05001333,2019,13089
E05001334,2019,12378
E05001335,2019,15272
E05001336,2019,12199
E05001337,2019,11849
E05001338,2019,10836
E05001339,2019,10827
E05001340,2019,11744
E05001341,2019,15175
E05001342,2019,18382
E05001343,2019,18603
E05001344,2019,17127
E05001345,2019,22200
E05001346,2019,21310
E05001347,2019,25754
E05001348,2019,17287
E05001349,2019,16961
E05001350,2019,19531
E05001351,2019,19098
E05001352,2019,18279
E05001353,2019,16659
E05001354,2019,14811
E05001355,2019,18376
E05001356,2019,16627
E05001357,2019,16722
E05001358,2019,23136
E05001359,2019,20062
E05001360,2019,16900
E05001361,2019,17675
E05001362,2019,15754
E05001363,2019,18001
E05001364,2019,20297
E05001365,2019,22721
E05001366,2019,11843
E05001367,2019,14945
E05001368,2019,16133
E05001369,2019,14222
E05001370,2019,15185
E05001371,2019,11286
E05001372,2019,12062
E05001373,2019,12371
E05001374,2019,11332
E05001375,2019,12127
E05001376,2019,12706
E05001377,2019,10715
E05001378,2019,11710
E05001379,2019,12834
E05001380,2019,16410
E05001381,2019,11207
E05001382,2019,11559
E05001383,2019,13616
E05001384,2019,12062
E05001385,2019,12439
E05001386,2019,13022
E05001387,2019,13997
E05001389,2019,20470
E05001390,2019,19490
E05001391,2019,20567
E05001392,2019,16813
E05001393,2019,17334
E05001396,2019,17457
E05001397,2019,16716
E05001398,2019,19865
E05001399,2019,19217
E05001400,2019,22351
E05001401,2019,18177
E05001402,2019,20941
E05001403,2019,17420
E05001405,2019,19299
E05001407,2019,20604
E05001408,2019,20183
E05001409,2019,19943
E05001410,2019,24127
E05001444,2019,17371
E05001445,2019,15890
E05001446,2019,18074
E05001447,2019,16606
E05001448,2019,15796
E05001449,2019,17187
E05001450,2019,16005
E05001451,2019,15491
E05001452,2019,14336
E05001453,2019,17202
E05001454,2019,16648
E05001455,2019,17512
E05001456,2019,15251
E05001457,2019,19132
E05001458,2019,16313
E05001459,2019,17021
E05001460,2019,17364
E05001461,2019,17844
E05001462,2019,14664
E05001463,2019,16439
E05001464,2019,16166
E05001527,2019,7458
E05001528,2019,7291
E05001529,2019,8464
E05001530,2019,6506
E05001531,2019,5176
E05001532,2019,6425
E05001533,2019,10675
E05001534,2019,5461
E05001535,2019,6553
E05001536,2019,7717
E05001537,2019,6332
E05001538,2019,10695
E05001539,2019,12669
E05001540,2019,12442
E05001541,2019,7212
E05001542,2019,4033
E05001543,2019,6580
E05001544,2019,7844
E05001545,2019,6035
E05001546,2019,9601
E05001547,2019,7403
E05001548,2019,6256
E05001549,2019,7329
E05001550,2019,6930
E05001551,2019,3470
E05001552,2019,10791
E05001577,2019,7394
E05001578,2019,3519
E05001579,2019,7197
E05001580,2019,6435
E05001581,2019,6703
E05001582,2019,5196
E05001583,2019,7310
E05001584,2019,9152
E05001585,2019,6993
E05001586,2019,1828
E05001587,2019,6827
E05001588,2019,6421
E05001589,2019,6658
E05001590,2019,5702
E05001591,2019,6658
E05001592,2019,6790
E05001593,2019,7519
E05001594,2019,6415
E05001595,2019,6536
E05001596,2019,5650
E05001597,2019,2507
E05001643,2019,6275
E05001644,2019,6342
E05001645,2019,7421
E05001646,2019,7008
E05001647,2019,7149
E05001648,2019,6655
E05001649,2019,6763
E05001650,2019,6997
E05001651,2019,6438
E05001652,2019,6564
E05001653,2019,6631
E05001654,2019,6550
E05001655,2019,6019
E05001656,2019,7654
E05001657,2019,6162
E05001658,2019,6532
E05001659,2019,6559
E05001660,2019,6492
E05001661,2019,6656
E05001662,2019,6224
E05001663,2019,6355
E05001687,2019,13995
E05001688,2019,11089
E05001689,2019,13159
E05001690,2019,14584
E05001691,2019,8073
E05001692,2019,9470
E05001693,2019,18049
E05001694,2019,15158
E05001695,2019,14525
E05001696,2019,11484
E05001697,2019,11090
E05001698,2019,15182
E05001699,2019,5171
E05001700,2019,15213
E05001701,2019,13729
E05001702,2019,16503
E05001703,2019,10544
E05001704,2019,17476
E05001705,2019,16098
E05001706,2019,9695
E05001707,2019,15050
E05001708,2019,10478
E05001709,2019,14572
E05001710,2019,10228
E05001711,2019,13546
E05001712,2019,17012
E05001713,2019,11508
E05001714,2019,11580
E05001715,2019,9452
E05001716,2019,9751
E05001717,2019,11907
E05001718,2019,11205
E05001719,2019,11834
E05001720,2019,11891
E05001721,2019,11315
E05001722,2019,12544
E05001723,2019,12778
E05001724,2019,6742
E05001725,2019,7690
E05001726,2019,7656
E05001727,2019,11710
E05001728,2019,13774
E05001729,2019,7686
E05001730,2019,8412
E05001731,2019,7292
E05001732,2019,11670
E05001733,2019,10682
E05001734,2019,11492
E05001735,2019,6589
E05001736,2019,11935
E05001737,2019,3826
E05001738,2019,11309
E05001739,2019,14546
E05001740,2019,11458
E05001741,2019,8191
E05001742,2019,11208
E05001743,2019,12781
E05001744,2019,9441
E05001767,2019,15565
E05001768,2019,13385
E05001769,2019,17070
E05001770,2019,22116
E05001771,2019,12852
E05001772,2019,13666
E05001773,2019,13035
E05001774,2019,15501
E05001775,2019,15548
E05001776,2019,14070
E05001777,2019,14999
E05001778,2019,15068
E05001779,2019,13847
E05001780,2019,19706
E05001781,2019,12549
E05001782,2019,16164
E05001783,2019,12161
E05002078,2019,13007
E05002079,2019,12536
E05002080,2019,16765
E05002081,2019,10784
E05002082,2019,14157
E05002083,2019,12856
E05002084,2019,14069
E05002085,2019,13988
E05002086,2019,12663
E05002087,2019,13702
E05002088,2019,8050
E05002089,2019,8729
E05002090,2019,12530
E05002091,2019,12246
E05002092,2019,13406
E05002093,2019,13355
E05002094,2019,17754
E05002095,2019,13573
E05002096,2019,13664
E05002097,2019,14266
E05002193,2019,7709
E05002194,2019,16644
E05002195,2019,7062
E05002196,2019,14243
E05002197,2019,7456
E05002198,2019,17053
E05002199,2019,13111
E05002200,2019,11171
E05002201,2019,7526
E05002202,2019,12565
E05002203,2019,12481
E05002204,2019,7843
E05002205,2019,7944
E05002206,2019,11963
E05002207,2019,14841
E05002208,2019,18259
E05002209,2019,6723
