Address,Postcode,Type,Status,Source,lat,long,Description
GROUND FLOOR UNIT 6 THE COURTYARD REAR OF 74 TO 80 WALSGRAVE ROAD CV2 4ED,CV2 4ED,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.410554,-1.483068,
49  BURNT POST PUBLIC HOUSE KENPAS HIGHWAY CV3 6AW,CV3 6AW,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.384677,-1.52949,
GATE HOUSE TAVERN HILL STREET CV1 4AN,CV1 4AN,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.409442,-1.515511,
THE NEW VARSITY GIBBET HILL ROAD CV4 7AJ,CV4 7AJ,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.373502,-1.553144,
ELEPHANT AND CASTLE ALDERMANS GREEN ROAD CV2 1NL,CV2 1NL,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.452133,-1.466726,
TAYBARNS GIELGUD WAY CV2 2SZ,CV2 2SZ,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.434706,-1.429171,
24 BURGES CV1 1HL,CV1 1HL,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.41006,-1.510624,
THE ELMS BIRMINGHAM ROAD CV5 9TZ,CV5 9TZ,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.422008,-1.556326,
2  AARDVARK BUTTS CV1 3GR,CV1 3GR,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.405058,-1.520792,
STYVECHALE ARMS KENPAS HIGHWAY CV3 6PB,CV3 6PB,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.380272,-1.520575,
THE SQUIRREL GREYFRIARS LANE CV1 1GY,CV1 1GY,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.410436,-1.51231,
FESTIVAL PUBLIC HOUSE FENSIDE AVENUE CV3 5QJ,CV3 5QJ,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.37886,-1.503065,
73 BIRMINGHAM ROAD CV5 9GT,CV5 9GT,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.423266,-1.560931,
40  ROSE AND WOODBINE PUBLIC HOUSE NORTH STREET CV2 3FW,CV2 3FW,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.417835,-1.480733,
COACH AND HORSES LONGFORD ROAD CV6 6BG,CV6 6BG,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.451553,-1.485899,
13  STAG AND PHEASANT LOCKHURST LANE CV6 5PD,CV6 5PD,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.427929,-1.503366,
296A WALSGRAVE ROAD CV2 4BL,CV2 4BL,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.411114,-1.473506,
GROUND FLOOR 6 LOWER FORD STREET CV1 5QJ,CV1 5QJ,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.410396,-1.502755,
AMAZON DELIVERY LOCKER 719  TILE HILL SERVICE STATION TILE HILL LANE CV4 9HU,CV4 9HU,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.400632,-1.594343,
SAINSBURYS BANK AT SAINSBURYS 330 FLETCHAMSTEAD HIGHWAY CV4 9BJ,CV4 9BJ,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.401551,-1.554988,
AMAZON LOCKER  W M MORRISON SUPERMARKET SKIPWORTH ROAD CV3 2XA,CV3 2XA,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.401484,-1.437963,
AMAZON LOCKER MORRISONS SUPERMARKET  ALVIS RETAIL PARK HOLYHEAD ROAD CV5 8BX,CV5 8BX,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.412538,-1.531972,
8A LONGFORD ROAD CV6 6DX,CV6 6DX,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.444953,-1.487815,
KATHLEENS CAFE ALMA STREET CV1 5QA,CV1 5QA,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.409648,-1.50022,
BUREAU DE CHANGE  ASDA SHOPPING CENTRE BRADE DRIVE CV2 2BL,CV2 2BL,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.424694,-1.435506,
TESCO MOBILE  ARENA RETAIL PARK CLASSIC DRIVE CV6 6EN,CV6 6EN,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.442595,-1.489314,
BUREAU DE CHANGE  ARENA RETAIL PARK CLASSIC DRIVE CV6 6EN,CV6 6EN,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.442595,-1.489314,
5  EASTWOOD BUSINESS VILLAGE HARRY WESTON ROAD CV3 2UB,CV3 2UB,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.40215,-1.443687,
UNIT 7A  FARGO VILLAGE FAR GOSFORD STREET CV1 5ED,CV1 5ED,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.407489,-1.493856,
FIRST FLOOR 63A FAR GOSFORD STREET CV1 5DZ,CV1 5DZ,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.408112,-1.494392,
22 NEW UNION STREET CV1 2HN,CV1 2HN,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.405029,-1.509553,
HAND CAR WASH  TESCO SUPERMARKET OLIVIER WAY CV2 2SH,CV2 2SH,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.432982,-1.431429,
HAND CARWASH REAR OF 1059 FOLESHILL ROAD CV6 6ER,CV6 6ER,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.440251,-1.491812,
57 BENNETTS ROAD NORTH CV7 8JY,CV7 8JY,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.463167,-1.537986,
KERESLEY GARAGE TAMWORTH ROAD CV7 8JG,CV7 8JG,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.451178,-1.548441,
318 HOLBROOK LANE CV6 4DJ,CV6 4DJ,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.444611,-1.509159,
304 HOLBROOK LANE CV6 4DH,CV6 4DH,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.443785,-1.509176,
297  PETROL FILLING STATION HOLBROOK LANE CV6 4DF,CV6 4DF,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.443392,-1.50974,
