LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01014616,"29,738",10,"32,253",10,"25,576",8
E01014617,"30,147",10,"31,230",10,"30,924",10
E01014618,"31,777",10,"32,152",10,"32,094",10
E01014619,"28,213",9,"29,945",10,"27,037",9
E01014620,"30,412",10,"32,342",10,"27,946",9
E01014621,"24,190",8,"28,047",9,"16,018",5
E01014622,"10,326",4,"13,257",5,"12,474",4
E01014623,"11,989",4,"16,257",5,"9,904",4
E01014624,"6,982",3,"7,856",3,"7,342",3
E01014626,"6,515",2,"7,574",3,"6,653",3
E01014627,"13,524",5,"11,641",4,"16,323",5
E01014629,"4,638",2,"6,234",2,"9,832",3
E01014630,"6,276",2,"2,980",1,"4,278",2
E01014631,"16,300",5,"19,021",6,"9,948",4
E01014632,"11,439",4,"12,540",4,"11,964",4
E01014633,"14,739",5,"15,538",5,"21,141",7
E01014634,"23,040",8,"15,566",5,"17,473",6
E01014635,"20,291",7,"19,164",6,"21,061",7
E01014636,"4,934",2,"9,800",3,"7,651",3
E01014637,"23,494",8,"28,446",9,"24,540",8
E01014638,"1,587",1,"4,696",2,"3,567",2
E01014639,"1,445",1,"1,492",1,"9,062",3
E01014640,"3,934",2,"4,332",2,"9,753",3
E01014641,"16,327",5,"13,033",4,"24,061",8
E01014642,"17,299",6,"20,100",7,"16,266",5
E01014643,"4,593",2,"3,037",1,"9,146",3
E01014644,"9,056",3,"4,327",2,"12,449",4
E01014645,"11,053",4,"16,203",5,"6,372",2
E01014646,"9,416",3,"11,223",4,"17,775",6
E01014647,"2,467",1,"2,033",1,"4,888",2
E01014648,"21,206",7,"31,133",10,"12,997",4
E01014649,"22,285",7,"30,038",10,"20,393",7
E01014650,"10,224",4,"10,703",4,"14,535",5
E01014651,"22,686",7,"24,263",8,"19,314",6
E01014653,743,1,814,1,"1,113",1
E01014654,"1,881",1,"3,720",2,"1,444",1
E01014655,"2,334",1,"4,730",2,"1,242",1
E01014658,"1,634",1,"1,510",1,949,1
E01014659,"6,246",2,"1,886",1,"2,739",1
E01014660,"4,499",2,"4,613",2,"7,429",3
E01014661,"6,222",2,"2,304",1,"8,969",3
E01014662,"12,497",4,"10,183",4,"9,603",3
E01014663,"3,249",1,"5,570",2,"5,891",2
