LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01000001,"29,199",9,"32,806",10,"32,820",10
E01000002,"30,379",10,"29,682",10,"31,938",10
E01000003,"14,915",5,"27,063",9,"16,377",5
E01000005,"8,678",3,"9,458",3,"3,885",2
E01000006,"14,486",5,"13,592",5,"12,934",4
E01000007,"7,256",3,"6,750",3,"2,514",1
E01000008,"5,010",2,"4,452",2,893,1
E01000009,"6,736",3,"10,487",4,"2,238",1
E01000010,"6,900",3,"8,757",3,531,1
E01000011,"7,698",3,"10,815",4,"2,747",1
E01000012,"5,990",2,"4,419",2,"3,554",2
E01000013,"4,573",2,"7,335",3,"6,152",2
E01000014,"5,650",2,"9,854",4,"5,474",2
E01000015,"6,405",2,"6,921",3,"4,299",2
E01000016,"6,739",3,"6,841",3,"6,054",2
E01000017,"4,570",2,"3,696",2,"4,966",2
E01000018,"6,504",2,"5,110",2,"7,710",3
E01000019,"6,410",2,"10,305",4,"5,121",2
E01000020,"5,520",2,"8,053",3,"3,361",2
E01000021,"4,611",2,"4,790",2,"2,973",1
E01000022,"6,098",2,"6,989",3,"8,010",3
E01000023,"5,243",2,"3,538",2,"3,920",2
E01000024,"8,333",3,"13,512",5,"5,988",2
E01000025,"5,303",2,"5,422",2,"5,223",2
E01000027,"5,097",2,"5,532",2,"8,003",3
E01000028,"4,240",2,"5,919",2,"1,337",1
E01000029,"12,389",4,"16,396",5,"14,665",5
E01000030,"4,760",2,"2,800",1,"6,752",3
E01000031,"12,267",4,"12,475",4,"10,229",4
E01000032,"8,037",3,"12,340",4,"10,623",4
E01000033,"4,879",2,"2,770",1,"6,836",3
E01000034,"5,575",2,"6,977",3,"4,183",2
E01000035,"10,070",4,"8,675",3,"10,771",4
E01000036,"15,028",5,"12,404",4,"17,831",6
E01000037,"16,128",5,"16,218",5,"19,150",6
E01000038,"14,671",5,"9,850",3,"12,816",4
E01000039,"12,542",4,"12,722",4,"10,237",4
E01000040,"6,028",2,"6,212",2,"4,009",2
E01000041,"6,601",3,"10,224",4,"8,307",3
E01000042,"3,842",2,"5,029",2,"2,664",1
E01000043,"8,992",3,"12,693",4,"7,080",3
E01000044,"8,825",3,"12,212",4,"11,619",4
E01000045,"5,639",2,"8,928",3,"6,039",2
E01000046,"8,138",3,"9,558",3,"6,970",3
E01000048,"3,117",1,"1,664",1,542,1
E01000049,"3,928",2,"3,071",1,"2,013",1
E01000050,"5,994",2,"13,867",5,"3,780",2
E01000051,"5,228",2,"3,558",2,"4,347",2
E01000052,"6,549",2,"9,291",3,"4,952",2
E01000053,"4,249",2,"5,363",2,"3,562",2
E01000054,"8,124",3,"7,230",3,"8,518",3
E01000055,"7,604",3,"4,611",2,"5,627",2
E01000056,"5,571",2,"8,437",3,"7,170",3
E01000057,"6,712",3,"6,686",3,"9,204",3
E01000058,"7,176",3,"6,900",3,"3,947",2
E01000059,"6,950",3,"10,451",4,"6,592",3
E01000060,"5,475",2,"7,232",3,"6,146",2
E01000061,"2,802",1,"2,377",1,876,1
E01000062,"9,781",3,"11,417",4,"9,404",3
E01000063,"6,520",2,"8,950",3,"9,933",4
E01000064,"5,791",2,"6,500",2,"7,753",3
E01000065,"4,296",2,"7,188",3,"4,265",2
E01000066,"10,329",4,"14,705",5,"6,256",2
E01000067,"13,573",5,"13,001",4,"7,362",3
E01000068,"10,421",4,"16,195",5,"6,374",2
E01000069,"17,580",6,"20,929",7,"11,375",4
E01000070,"13,531",5,"16,928",6,"11,616",4
E01000071,"15,370",5,"13,267",5,"7,099",3
E01000072,"3,974",2,"4,870",2,"4,356",2
E01000073,"4,645",2,"7,658",3,"3,775",2
E01000074,"5,870",2,"5,018",2,"5,611",2
E01000075,"5,215",2,"5,360",2,"8,331",3
E01000076,"5,451",2,"9,330",3,"5,967",2
E01000077,"3,967",2,"4,647",2,"4,001",2
E01000078,"5,874",2,"3,524",2,"7,609",3
E01000079,"6,057",2,"6,811",3,"3,522",2
E01000080,"6,596",3,"8,697",3,"7,102",3
E01000081,"7,738",3,"9,610",3,"8,809",3
E01000082,"9,100",3,"12,181",4,"8,412",3
E01000083,"6,111",2,"6,969",3,"7,666",3
E01000084,"4,315",2,"6,043",2,"5,988",2
E01000085,"5,838",2,"10,257",4,"4,473",2
E01000086,"4,822",2,"7,715",3,"2,071",1
E01000087,"6,122",2,"6,195",2,"5,755",2
E01000088,"8,574",3,"11,795",4,"11,461",4
E01000089,"8,508",3,"9,002",3,"10,978",4
E01000090,"8,873",3,"6,899",3,"13,059",4
E01000091,"3,669",2,"5,868",2,"4,494",2
E01000092,"6,348",2,"6,203",2,"2,433",1
E01000093,"2,669",1,"3,607",2,"3,602",2
E01000094,"8,930",3,"10,679",4,"4,696",2
E01000095,"6,984",3,"6,227",2,"5,578",2
E01000096,"3,997",2,"2,772",1,"7,216",3
E01000097,"4,866",2,"7,948",3,"3,003",1
E01000098,"4,455",2,"6,387",2,"3,976",2
E01000099,"8,373",3,"10,077",4,"4,653",2
E01000100,"7,152",3,"12,557",4,"7,748",3
E01000101,"4,126",2,"4,657",2,"3,708",2
E01000102,"3,557",2,"3,532",2,"2,897",1
E01000103,"6,708",3,"7,739",3,"5,718",2
E01000104,"6,002",2,"5,584",2,"5,031",2
E01000105,"3,229",1,"5,699",2,"2,176",1
E01000106,"3,355",2,"3,737",2,"3,214",1
E01000107,"8,865",3,"8,675",3,"13,271",5
E01000108,"8,940",3,"5,571",2,"15,136",5
E01000109,"10,373",4,"14,044",5,"14,500",5
E01000110,"16,365",5,"14,129",5,"16,839",6
E01000111,"8,544",3,"10,363",4,"6,411",2
E01000112,"10,925",4,"12,423",4,"7,486",3
E01000113,"10,601",4,"9,204",3,"10,921",4
E01000114,"11,855",4,"12,586",4,"14,710",5
E01000115,"29,174",9,"23,445",8,"27,608",9
E01000116,"27,318",9,"25,041",8,"14,913",5
E01000117,"24,958",8,"27,210",9,"21,610",7
E01000118,"24,743",8,"20,296",7,"20,240",7
E01000119,"22,657",7,"24,630",8,"15,643",5
E01000120,"29,572",10,"27,725",9,"20,175",7
E01000121,"5,463",2,"4,638",2,"4,998",2
E01000122,"24,308",8,"26,887",9,"15,251",5
E01000123,"23,278",8,"17,728",6,"17,865",6
E01000124,"11,634",4,"10,727",4,"5,576",2
E01000125,"9,759",3,"9,388",3,"3,707",2
E01000126,"6,407",2,"5,869",2,903,1
E01000127,"9,275",3,"8,456",3,"3,687",2
E01000128,"9,555",3,"7,718",3,"9,359",3
E01000129,"7,554",3,"11,839",4,364,1
E01000130,"7,621",3,"9,878",4,"6,305",2
E01000131,"13,623",5,"18,170",6,"11,077",4
E01000132,"10,459",4,"7,965",3,"3,639",2
E01000133,"7,660",3,"13,753",5,"4,307",2
E01000134,"10,969",4,"9,268",3,"1,641",1
E01000135,"21,585",7,"20,958",7,"21,724",7
E01000136,"25,840",8,"31,663",10,"24,042",8
E01000137,"8,611",3,"4,322",2,"4,660",2
E01000138,"9,114",3,"8,934",3,"10,018",4
E01000139,"21,727",7,"18,266",6,"15,507",5
E01000140,"17,164",6,"11,913",4,"13,934",5
E01000141,"8,601",3,"9,583",3,"5,326",2
E01000142,"17,305",6,"12,988",4,"11,618",4
E01000143,"7,380",3,"3,689",2,"4,853",2
E01000144,"15,833",5,"22,409",7,"8,398",3
E01000145,"19,310",6,"24,526",8,"22,487",7
E01000146,"15,647",5,"19,714",7,"12,133",4
E01000147,"21,282",7,"26,237",8,"12,225",4
E01000148,"9,213",3,"10,603",4,"3,140",1
E01000150,"18,371",6,"15,585",5,"9,859",4
E01000151,"4,606",2,"1,589",1,"2,717",1
E01000152,"6,908",3,"4,240",2,"1,376",1
E01000153,"3,826",2,"3,444",2,"2,245",1
E01000154,"6,805",3,"13,060",4,"3,390",2
E01000155,"13,700",5,"10,592",4,"4,889",2
E01000156,"26,669",9,"21,185",7,"10,776",4
E01000157,"21,431",7,"16,659",6,"11,753",4
E01000158,"14,606",5,"13,742",5,"11,122",4
E01000159,"17,696",6,"13,143",5,"17,000",6
E01000160,"22,025",7,"22,701",7,"13,996",5
E01000161,"19,434",6,"14,418",5,"9,864",4
E01000162,"15,689",5,"18,132",6,"11,405",4
E01000163,"8,744",3,"8,753",3,"3,048",1
E01000164,"10,557",4,"12,301",4,"4,258",2
E01000165,"20,782",7,"16,692",6,"9,801",3
E01000166,"19,054",6,"20,359",7,"12,993",4
E01000167,"8,854",3,"4,943",2,"6,421",2
E01000168,"28,357",9,"27,943",9,"19,798",7
E01000169,"20,813",7,"19,393",6,"19,381",6
E01000170,"14,031",5,"12,792",4,"8,921",3
E01000171,"11,210",4,"5,542",2,"7,705",3
E01000172,"26,533",9,"21,187",7,"20,991",7
E01000173,"24,872",8,"20,416",7,"16,392",5
E01000174,"17,685",6,"15,805",5,"8,298",3
E01000175,"27,536",9,"28,778",9,"23,532",8
E01000176,"7,768",3,"4,724",2,"3,589",2
E01000177,"26,742",9,"23,059",8,"22,329",7
E01000178,"27,008",9,"26,952",9,"16,717",6
E01000179,"26,462",9,"20,910",7,"15,888",5
E01000180,"19,391",6,"19,141",6,"4,858",2
E01000181,"26,821",9,"24,964",8,"17,821",6
E01000182,"27,057",9,"30,252",10,"20,965",7
E01000183,"23,760",8,"24,522",8,"13,526",5
E01000184,"7,110",3,"6,470",2,"4,930",2
E01000185,"10,299",4,"4,437",2,"1,388",1
E01000186,"30,326",10,"30,661",10,"23,401",8
E01000187,"21,042",7,"19,526",6,"6,578",3
E01000188,"27,036",9,"29,910",10,"30,278",10
E01000189,"11,051",4,"12,159",4,"6,982",3
E01000190,"24,311",8,"19,583",6,"18,826",6
E01000191,"28,527",9,"28,983",9,"22,432",7
E01000192,"18,475",6,"16,562",6,"19,872",7
E01000193,"17,828",6,"21,857",7,"16,519",6
E01000194,"14,920",5,"15,644",5,"15,305",5
E01000195,"9,593",3,"9,452",3,"5,302",2
E01000196,"21,850",7,"22,426",7,"13,174",5
E01000197,"21,591",7,"18,208",6,"17,059",6
E01000198,"22,353",7,"19,767",7,"17,727",6
E01000199,"28,042",9,"27,140",9,"27,508",9
E01000200,"25,046",8,"24,489",8,"19,523",6
E01000201,"28,084",9,"30,485",10,"25,597",8
E01000202,"28,623",9,"27,858",9,"15,518",5
E01000203,"18,422",6,"15,767",5,"10,997",4
E01000204,"24,436",8,"25,531",8,"18,042",6
E01000205,"27,397",9,"25,841",8,"25,126",8
E01000206,"25,629",8,"32,348",10,"32,413",10
E01000207,"28,804",9,"29,469",9,"26,433",9
E01000208,"28,766",9,"29,839",10,"28,477",9
E01000209,"28,249",9,"30,455",10,"25,703",8
E01000210,"26,833",9,"23,685",8,"24,322",8
E01000211,"19,377",6,"13,874",5,"9,646",3
E01000212,"24,145",8,"24,859",8,"29,490",9
E01000213,"27,586",9,"32,448",10,"28,439",9
E01000214,"23,881",8,"28,352",9,"21,762",7
E01000215,"20,414",7,"26,798",9,"6,076",2
E01000216,"24,507",8,"28,502",9,"13,502",5
E01000217,"23,520",8,"25,142",8,"21,937",7
E01000218,"18,612",6,"20,471",7,"18,608",6
E01000219,"14,460",5,"27,238",9,"9,602",3
E01000220,"16,891",6,"22,460",7,"11,112",4
E01000221,"2,878",1,"3,667",2,"1,571",1
E01000222,"9,539",3,"12,678",4,"11,570",4
E01000223,"5,606",2,"8,245",3,"3,713",2
E01000224,"14,638",5,"9,079",3,"13,651",5
E01000225,"23,364",8,"30,577",10,"12,190",4
E01000226,"7,222",3,"8,241",3,"1,123",1
E01000227,"24,577",8,"23,257",8,"15,906",5
E01000228,"21,621",7,"19,428",6,"19,220",6
E01000229,"13,079",4,"15,460",5,"10,071",4
E01000230,"27,204",9,"24,406",8,"18,140",6
E01000231,"16,447",6,"15,372",5,"17,301",6
E01000232,"19,413",6,"17,249",6,"10,825",4
E01000233,"25,991",8,"23,657",8,"17,809",6
E01000234,"26,226",8,"25,266",8,"17,671",6
E01000235,"11,811",4,"9,944",4,"6,623",3
E01000236,"23,808",8,"25,337",8,"12,102",4
E01000237,"25,066",8,"26,721",9,"16,019",5
E01000238,"19,485",6,"20,556",7,"12,704",4
E01000239,"13,120",4,"10,376",4,"8,563",3
E01000240,"14,717",5,"13,642",5,"9,865",4
E01000241,"23,646",8,"20,903",7,"16,764",6
E01000242,"15,111",5,"17,216",6,"12,247",4
E01000243,"19,861",7,"22,908",7,"11,356",4
E01000244,"18,293",6,"22,601",7,"11,137",4
E01000245,"11,312",4,"10,380",4,"4,688",2
E01000246,"23,751",8,"25,109",8,"26,973",9
E01000247,"24,330",8,"21,278",7,"25,165",8
E01000248,"27,938",9,"30,651",10,"19,202",6
E01000249,"29,613",10,"32,277",10,"30,971",10
E01000250,"21,023",7,"12,685",4,"15,779",5
E01000251,"15,365",5,"14,156",5,"10,890",4
E01000252,"20,654",7,"21,623",7,"12,016",4
E01000253,"25,200",8,"24,090",8,"29,469",9
E01000254,"27,346",9,"28,662",9,"27,966",9
E01000255,"15,471",5,"9,847",3,"9,505",3
E01000256,"23,742",8,"17,822",6,"19,428",6
E01000257,"10,770",4,"10,937",4,"7,434",3
E01000258,"25,595",8,"24,575",8,"23,072",8
E01000259,"20,665",7,"16,848",6,"15,902",5
E01000260,"14,473",5,"15,000",5,"14,413",5
E01000261,"27,512",9,"31,449",10,"21,033",7
E01000262,"22,595",7,"18,418",6,"10,262",4
E01000263,"29,609",10,"31,744",10,"28,284",9
E01000264,"17,488",6,"13,541",5,"12,983",4
E01000265,"18,822",6,"13,544",5,"11,059",4
E01000266,"27,042",9,"27,991",9,"23,909",8
E01000267,"21,327",7,"17,762",6,"17,447",6
E01000268,"18,670",6,"6,941",3,"17,538",6
E01000269,"23,965",8,"17,881",6,"27,242",9
E01000270,"22,199",7,"20,349",7,"19,718",7
E01000271,"28,725",9,"27,844",9,"25,192",8
E01000272,"30,661",10,"32,103",10,"25,048",8
E01000273,"19,790",7,"15,316",5,"11,801",4
E01000274,"18,373",6,"12,607",4,"12,782",4
E01000275,"20,490",7,"11,659",4,"14,056",5
E01000276,"31,443",10,"31,869",10,"26,914",9
E01000277,"15,935",5,"19,618",6,"7,241",3
E01000278,"29,998",10,"31,001",10,"25,232",8
E01000279,"25,843",8,"32,041",10,"32,404",10
E01000280,"31,544",10,"32,159",10,"28,321",9
E01000281,"23,416",8,"25,499",8,"7,832",3
E01000282,"26,321",9,"29,328",9,"24,221",8
E01000283,"30,858",10,"31,498",10,"26,589",9
E01000284,"18,467",6,"11,872",4,"7,787",3
E01000285,"18,783",6,"12,683",4,"20,141",7
E01000286,"11,433",4,"9,635",3,"10,356",4
E01000287,"12,242",4,"11,145",4,"8,022",3
E01000288,"21,005",7,"20,951",7,"13,930",5
E01000289,"4,786",2,"3,860",2,"7,255",3
E01000290,"14,405",5,"15,969",5,"15,005",5
E01000291,"6,697",3,"6,021",2,"6,684",3
E01000292,"22,974",7,"25,431",8,"22,260",7
E01000293,"27,550",9,"20,693",7,"23,496",8
E01000294,"21,893",7,"23,566",8,"13,853",5
E01000295,"20,731",7,"31,024",10,"13,730",5
E01000296,"22,036",7,"19,814",7,"13,968",5
E01000297,"25,783",8,"21,602",7,"10,140",4
E01000298,"22,372",7,"17,965",6,"11,053",4
E01000299,"16,989",6,"14,786",5,"9,379",3
E01000300,"21,880",7,"20,739",7,"11,168",4
E01000301,"28,246",9,"31,526",10,"23,152",8
E01000302,"18,360",6,"15,014",5,"9,038",3
E01000303,"28,555",9,"28,283",9,"19,007",6
E01000304,"20,455",7,"22,234",7,"11,834",4
E01000305,"9,115",3,"11,357",4,"4,998",2
E01000306,"19,906",7,"27,464",9,"7,276",3
E01000307,"11,835",4,"10,245",4,"6,706",3
E01000308,"7,151",3,"7,331",3,"2,394",1
E01000309,"20,046",7,"17,975",6,"14,210",5
E01000310,"15,067",5,"16,048",5,"9,806",3
E01000311,"23,246",8,"31,564",10,"23,247",8
E01000312,"10,806",4,"14,287",5,954,1
E01000313,"14,409",5,"20,794",7,"7,400",3
E01000314,"23,679",8,"26,942",9,"16,886",6
E01000315,"6,785",3,"7,096",3,"2,376",1
E01000316,"14,454",5,"12,886",4,"6,458",2
E01000317,"23,497",8,"23,473",8,"9,871",4
E01000318,"19,218",6,"16,949",6,"8,538",3
E01000319,"24,628",8,"23,872",8,"15,777",5
E01000320,"26,150",8,"19,794",7,"16,662",6
E01000321,"19,535",6,"15,638",5,"11,829",4
E01000322,"19,048",6,"13,722",5,"12,386",4
E01000323,"15,389",5,"17,077",6,"8,541",3
E01000324,"20,202",7,"19,456",6,"15,604",5
E01000325,"29,599",10,"24,907",8,"29,667",10
E01000326,"22,206",7,"18,538",6,"27,957",9
E01000327,"27,457",9,"25,892",8,"28,788",9
E01000328,"22,853",7,"23,985",8,"28,046",9
E01000329,"18,060",6,"14,029",5,"24,003",8
E01000330,"16,254",5,"11,820",4,"16,208",5
E01000331,"8,888",3,"9,096",3,"15,887",5
E01000332,"17,857",6,"11,860",4,"21,322",7
E01000333,"10,270",4,"8,250",3,"11,410",4
E01000334,"21,066",7,"16,179",5,"21,763",7
E01000335,"7,186",3,"8,712",3,"7,791",3
E01000336,"7,373",3,"4,949",2,"4,610",2
E01000337,"14,747",5,"3,957",2,"22,349",7
E01000338,"15,333",5,"11,499",4,"14,599",5
E01000339,"17,653",6,"11,429",4,"22,231",7
E01000340,"21,230",7,"17,036",6,"22,802",7
E01000341,"25,941",8,"22,290",7,"24,027",8
E01000342,"25,891",8,"31,922",10,"24,654",8
E01000343,"26,633",9,"24,038",8,"23,759",8
E01000344,"29,332",9,"28,897",9,"28,104",9
E01000345,"29,145",9,"27,041",9,"29,557",9
E01000346,"24,927",8,"23,904",8,"23,725",8
E01000347,"23,128",8,"22,856",7,"13,949",5
E01000348,"30,525",10,"32,050",10,"32,075",10
E01000349,"27,736",9,"24,718",8,"28,239",9
E01000350,"27,197",9,"24,642",8,"28,173",9
E01000351,"27,580",9,"20,304",7,"29,491",9
E01000352,"19,159",6,"15,102",5,"14,762",5
E01000353,"30,316",10,"21,505",7,"29,762",10
E01000354,"13,302",5,"11,682",4,"11,874",4
E01000355,"26,842",9,"29,285",9,"27,394",9
E01000356,"27,128",9,"19,977",7,"31,474",10
E01000357,"31,429",10,"30,683",10,"30,765",10
E01000358,"29,282",9,"24,738",8,"25,336",8
E01000359,"29,254",9,"19,899",7,"32,425",10
E01000360,"15,534",5,"16,179",5,"18,459",6
E01000361,"23,027",8,"18,021",6,"24,212",8
E01000362,"21,457",7,"14,233",5,"28,188",9
E01000363,"25,379",8,"22,223",7,"25,153",8
E01000364,"21,389",7,"15,409",5,"23,391",8
E01000365,"19,555",6,"15,012",5,"17,621",6
E01000366,"24,683",8,"12,590",4,"21,221",7
E01000367,"7,599",3,"3,984",2,"14,833",5
E01000368,"6,298",2,"3,342",2,"9,033",3
E01000369,"19,297",6,"14,191",5,"23,659",8
E01000370,"22,899",7,"19,083",6,"24,782",8
E01000371,"26,858",9,"20,603",7,"29,837",10
E01000372,"8,063",3,"5,944",2,"12,623",4
E01000373,"8,331",3,"14,610",5,"6,566",2
E01000374,"3,624",2,"6,072",2,"5,978",2
E01000375,"15,879",5,"14,298",5,"12,984",4
E01000376,"17,727",6,"17,788",6,"16,182",5
E01000377,"21,848",7,"21,007",7,"25,804",8
E01000378,"13,369",5,"12,270",4,"16,135",5
E01000379,"15,579",5,"10,387",4,"16,619",6
E01000380,"11,840",4,"12,388",4,"7,304",3
E01000381,"9,141",3,"9,694",3,"11,830",4
E01000382,"28,932",9,"29,244",9,"29,431",9
E01000383,"13,501",5,"14,024",5,"24,235",8
E01000384,"22,083",7,"14,373",5,"16,409",5
E01000385,"6,958",3,"4,023",2,"9,656",3
E01000386,"3,835",2,"4,309",2,"5,310",2
E01000387,"21,777",7,"22,548",7,"26,540",9
E01000388,"23,585",8,"21,260",7,"22,647",7
E01000389,"23,070",8,"13,693",5,"23,993",8
E01000390,"24,292",8,"25,588",8,"23,923",8
E01000391,"20,043",7,"19,542",6,"19,371",6
E01000392,"12,119",4,"9,270",3,"8,424",3
E01000393,"25,584",8,"27,800",9,"21,442",7
E01000394,"25,359",8,"20,887",7,"17,635",6
E01000395,"30,471",10,"30,160",10,"29,318",9
E01000396,"26,986",9,"25,353",8,"27,123",9
E01000398,"14,343",5,"14,651",5,"12,616",4
E01000399,"25,650",8,"26,937",9,"24,326",8
E01000400,"19,222",6,"15,835",5,"22,298",7
E01000401,"13,478",5,"11,493",4,"9,034",3
E01000402,"11,661",4,"7,930",3,"11,521",4
E01000403,"8,247",3,"5,729",2,"9,879",4
E01000404,"7,988",3,"4,631",2,"3,851",2
E01000405,"8,556",3,"7,479",3,"10,544",4
E01000406,"11,865",4,"7,770",3,"11,480",4
E01000407,"19,290",6,"15,875",5,"15,965",5
E01000408,"11,511",4,"4,367",2,"14,896",5
E01000409,"29,535",9,"28,512",9,"29,534",9
E01000410,"27,698",9,"27,173",9,"28,421",9
E01000411,"24,984",8,"24,068",8,"24,926",8
E01000412,"26,294",9,"30,285",10,"22,219",7
E01000413,"23,374",8,"23,091",8,"20,947",7
E01000414,"20,333",7,"15,033",5,"18,698",6
E01000415,"29,162",9,"29,488",9,"29,463",9
E01000416,"10,611",4,"8,770",3,"8,353",3
E01000417,"14,752",5,"10,934",4,"18,862",6
E01000418,"15,526",5,"10,908",4,"9,783",3
E01000419,"26,164",8,"22,733",7,"25,684",8
E01000420,"23,155",8,"17,472",6,"18,419",6
E01000421,"28,043",9,"26,192",8,"29,603",10
E01000422,"5,556",2,"3,230",1,"2,468",1
E01000423,"29,890",10,"25,580",8,"25,558",8
E01000424,"28,573",9,"27,593",9,"24,097",8
E01000425,"28,921",9,"31,924",10,"21,250",7
E01000426,"24,090",8,"16,336",5,"17,584",6
E01000427,"21,182",7,"21,295",7,"17,946",6
E01000428,"11,429",4,"1,094",1,"15,391",5
E01000429,"3,591",2,"3,946",2,"6,574",3
E01000430,"17,477",6,"10,560",4,"14,255",5
E01000431,"5,493",2,"2,849",1,"8,980",3
E01000432,"11,135",4,"8,649",3,"11,717",4
E01000433,"5,702",2,"4,725",2,"9,682",3
E01000434,"4,809",2,"4,815",2,"6,390",2
E01000435,"7,461",3,"3,729",2,"13,239",5
E01000436,"30,492",10,"28,594",9,"28,209",9
E01000437,"20,296",7,"15,216",5,"22,211",7
E01000438,"19,919",7,"11,198",4,"19,876",7
E01000439,"11,510",4,"8,314",3,"11,584",4
E01000440,"27,367",9,"24,084",8,"28,623",9
E01000441,"8,484",3,"4,152",2,"8,455",3
E01000442,"20,054",7,"14,727",5,"19,019",6
E01000443,"15,949",5,"22,063",7,"15,010",5
E01000444,"28,530",9,"31,271",10,"30,892",10
E01000445,"29,687",10,"26,618",9,"32,015",10
E01000446,"29,153",9,"29,376",9,"25,014",8
E01000447,"24,076",8,"19,364",6,"19,144",6
E01000448,"32,132",10,"26,211",8,"32,635",10
E01000449,"30,072",10,"31,918",10,"31,687",10
E01000450,"16,089",5,"13,394",5,"16,741",6
E01000451,"27,695",9,"25,042",8,"28,282",9
E01000452,"27,715",9,"24,371",8,"26,150",8
E01000453,"27,021",9,"19,784",7,"28,698",9
E01000454,"15,605",5,"14,081",5,"14,436",5
E01000455,"26,845",9,"24,548",8,"24,753",8
E01000456,"29,319",9,"28,099",9,"25,777",8
E01000457,"22,056",7,"15,788",5,"19,140",6
E01000458,"29,877",10,"29,178",9,"20,598",7
E01000459,"19,511",6,"9,685",3,"16,983",6
E01000460,"30,405",10,"26,242",8,"29,081",9
E01000461,"28,207",9,"26,867",9,"27,811",9
E01000462,"19,613",6,"10,805",4,"17,001",6
E01000463,"30,387",10,"25,933",8,"30,840",10
E01000464,"10,479",4,"5,178",2,"2,275",1
E01000465,"8,670",3,"3,772",2,"8,033",3
E01000466,"11,745",4,"8,672",3,"8,381",3
E01000467,"15,630",5,"7,601",3,"13,795",5
E01000468,"13,661",5,"9,676",3,"7,506",3
E01000469,"14,434",5,"10,591",4,"10,442",4
E01000470,"4,777",2,"6,675",3,"2,685",1
E01000471,"13,163",5,"20,763",7,"7,252",3
E01000472,"12,105",4,"8,100",3,"6,763",3
E01000473,"10,632",4,"12,273",4,"7,244",3
E01000474,"12,945",4,"17,438",6,"4,182",2
E01000475,"13,473",5,"18,318",6,"3,895",2
E01000476,"14,647",5,"19,694",6,"8,800",3
E01000477,"11,703",4,"17,582",6,"8,099",3
E01000478,"11,562",4,"12,946",4,"7,225",3
E01000479,"18,106",6,"15,912",5,"11,522",4
E01000480,"22,429",7,"20,637",7,"16,528",6
E01000481,"9,179",3,"10,152",4,"8,555",3
E01000482,"6,542",2,"7,961",3,"1,622",1
E01000483,"6,463",2,"7,911",3,"1,488",1
E01000484,"4,689",2,"4,561",2,"2,115",1
E01000485,"8,179",3,"15,523",5,524,1
E01000486,"18,391",6,"19,625",6,"15,988",5
E01000487,"16,441",6,"19,557",6,"7,145",3
E01000488,"11,178",4,"12,552",4,"8,198",3
E01000489,"11,883",4,"8,478",3,"5,477",2
E01000490,"11,248",4,"8,560",3,"3,222",1
E01000491,"13,387",5,"15,453",5,"8,373",3
E01000492,"20,615",7,"22,677",7,"14,000",5
E01000493,"21,822",7,"19,112",6,"14,236",5
E01000494,"14,784",5,"13,305",5,"3,693",2
E01000495,"6,848",3,"6,006",2,"1,474",1
E01000497,"11,593",4,"11,173",4,"8,818",3
E01000498,"6,869",3,"8,558",3,"10,581",4
E01000499,"9,517",3,"6,822",3,"8,900",3
E01000501,"5,656",2,"4,705",2,"2,688",1
E01000502,"8,665",3,"5,456",2,"7,231",3
E01000503,"8,720",3,"10,842",4,"8,439",3
E01000504,"13,251",5,"17,420",6,"7,095",3
E01000505,"14,065",5,"14,265",5,"8,645",3
E01000506,"7,823",3,"7,608",3,"4,069",2
E01000507,"12,769",4,"10,037",4,"9,609",3
E01000508,"4,930",2,"8,284",3,"2,512",1
E01000509,"6,199",2,"7,517",3,"8,008",3
E01000510,"7,979",3,"8,935",3,"7,252",3
E01000511,"7,553",3,"10,955",4,"8,210",3
E01000512,"15,315",5,"13,629",5,"10,601",4
E01000513,"18,437",6,"16,626",6,"11,949",4
E01000514,"19,311",6,"18,627",6,"14,511",5
E01000515,"9,286",3,"15,187",5,"2,263",1
E01000516,"14,898",5,"17,281",6,"10,946",4
E01000517,"20,424",7,"27,867",9,"10,925",4
E01000518,"10,230",4,"14,528",5,"5,691",2
E01000519,"14,037",5,"15,997",5,"5,681",2
E01000520,"13,856",5,"20,468",7,"6,939",3
E01000521,"1,713",1,"2,589",1,"1,747",1
E01000522,"7,331",3,"5,309",2,"6,014",2
E01000523,"7,193",3,"8,572",3,"4,939",2
E01000524,"3,221",1,"3,894",2,"1,965",1
E01000525,"6,401",2,"5,237",2,"4,608",2
E01000526,"3,682",2,"2,614",1,"2,196",1
E01000527,"6,182",2,"12,267",4,"4,040",2
E01000528,"2,844",1,"6,126",2,655,1
E01000530,"18,359",6,"17,067",6,"12,650",4
E01000531,"10,593",4,"6,375",2,"5,136",2
E01000532,"12,698",4,"15,322",5,"8,749",3
E01000533,"4,690",2,"8,520",3,"1,476",1
E01000534,"14,890",5,"14,706",5,"11,750",4
E01000535,"8,193",3,"13,903",5,"6,591",3
E01000536,"23,043",8,"22,671",7,"15,041",5
E01000538,"25,022",8,"19,407",6,"18,358",6
E01000539,"25,260",8,"27,585",9,"17,602",6
E01000540,"23,930",8,"24,455",8,"21,402",7
E01000541,"19,152",6,"22,099",7,"5,459",2
E01000543,"13,232",5,"15,296",5,"6,908",3
E01000544,"6,429",2,"4,110",2,"1,677",1
E01000545,"7,854",3,"8,263",3,"3,262",1
E01000546,"12,520",4,"11,054",4,"9,579",3
E01000547,"12,266",4,"10,919",4,"5,093",2
