pcds,term,usertype,oa21,lsoa11,lsoa21,lsoa21_onsname,lsoa21_name,imd_decile,msoa21,msoa21_onsname,msoa21_name,ward,ward_name,pcon,pcon_name
CV5 9JE,0,0,E00049012,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JF,0,0,E00049012,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JG,0,0,E00049012,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JH,0,0,E00049012,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JJ,0,0,E00049015,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JL,0,0,E00049015,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JN,0,0,E00049018,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JP,0,0,E00049018,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JQ,0,0,E00049017,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JR,0,0,E00049011,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JS,0,0,E00049011,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JT,0,0,E00049011,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JU,0,0,E00049017,E01009693,E01009693,Coventry 022C,Allesley Park South - Buckingham Rise,7,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JW,0,0,E00049019,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JX,0,0,E00049019,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JY,0,0,E00049019,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9JZ,0,0,E00049011,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9LA,0,0,E00049019,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9LB,0,0,E00049012,E01009694,E01009694,Coventry 022D,Allesley Park – Allesley Old Road ,10,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9LD,0,0,E00049057,E01009692,E01009692,Coventry 022B,Lower Eastern Green - Allesley Park Frilsham Way,9,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
CV5 9LE,0,0,E00049057,E01009692,E01009692,Coventry 022B,Lower Eastern Green - Allesley Park Frilsham Way,9,E02001979,Coventry 022,Allesley Park,E05001233,Whoberley,E14001181,Coventry North West
