pcds,term,usertype,oa21,lsoa11,lsoa21,lsoa21_onsname,lsoa21_name,imd_decile,msoa21,msoa21_onsname,msoa21_name,ward,ward_name,pcon,pcon_name
CV6 1AJ,0,0,E00185118,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AL,0,0,E00048822,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AN,0,0,E00048822,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AP,0,0,E00048814,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AQ,0,0,E00048814,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AR,0,0,E00048819,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AS,0,0,E00048807,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AT,0,0,E00048814,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AU,0,0,E00048807,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AW,0,0,E00048807,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AX,0,0,E00048856,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AY,0,0,E00048856,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1AZ,0,0,E00048816,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BA,0,0,E00048814,E01009648,E01009648,Coventry 017D,"Holyhead, Lake View & Batsford Roads",7,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BB,0,0,E00048816,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BD,0,0,E00048816,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BE,0,0,E00048816,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BF,0,0,E00185102,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BG,0,0,E00048856,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BH,0,0,E00048856,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
CV6 1BJ,0,0,E00048856,E01009647,E01009647,Coventry 017C,Alvis Retail Park - Moseley Avenue,5,E02001974,Coventry 017,Sherbourne,E05001229,Sherbourne,E14001181,Coventry North West
